i,o,d,azimuth,arc,o_area,d_area,grid_dist,o_km_from_sub,d_km_from_sub,crosses_sub,real_flow,weight
107621,446,205,63.7228,5.02691,1.1571,1.89795,5.8642,2.96568,1.16475,FALSE,14.3877,1.5129629294938007e-5
5355,60,0,59.9378,9.32138,1.63564,0.674357,11.3277,3.60483,1.52929,FALSE,0,3.012506879559725e-6
43262,353,10,-123.33,13.2133,0.942108,2.22261,16.5863,0.898116,2.19968,TRUE,0,3.916513896157877e-6
33612,318,320,162.099,7.91404,2.53384,2.87325,8.16032,12.2312,5.23064,FALSE,5.51911,3.34683516205727e-5
1371,171,111,-59.1504,9.56531,2.37226,1.63083,13.5431,4.89694,2.40755,TRUE,0,9.349480998409281e-6
46009,449,146,-24.2006,8.26642,1.67726,2.00477,9.37459,4.04424,1.97923,FALSE,5.44732,1.1869508757205609e-5
38048,311,209,9.17604,2.06872,1.56009,1.63418,2.74662,1.19625,0.354079,FALSE,11.6891,3.865886053728261e-5
198009,29,252,56.8897,15.6351,2.01379,2.06265,19.5727,2.14292,1.84921,TRUE,0,5.2550078337027345e-06
96331,157,322,-114.068,13.702,2.53252,2.00078,15.5471,3.88314,3.81077,TRUE,26.4266,1.0267008586724475e-5
2744,231,225,-10.6011,6.05391,0.854883,1.70418,6.57134,0.485046,6.52938,FALSE,23.4983,8.473471141539531e-6
62427,116,73,-137.639,7.87613,1.89197,2.8281,10.8469,2.26769,4.64317,FALSE,13.4872,1.509823622135961e-5
95375,303,62,20.7632,11.2389,1.72993,1.69933,15.7211,3.09956,5.06904,FALSE,0,5.895579972683227e-6
108785,432,19,-105.23,20.213,0.720339,2.11967,20.474,4.8589,8.55316,TRUE,0,1.811166062486812e-6
6585,449,350,-172.665,3.20545,1.67726,0.856806,4.20497,4.04424,1.152,FALSE,8.67047,1.466206155683674e-5
168020,64,423,-170.076,12.3824,1.52754,1.12442,16.5309,3.2597,0.686013,FALSE,4.37019,3.2310072419724226e-6
28879,339,125,13.0181,5.4306,0.444211,2.08132,7.37401,1.41906,1.10411,TRUE,39.9966,4.736351610498329e-6
184080,328,255,137.847,4.55528,1.35958,2.49985,6.1085,4.28865,3.81247,FALSE,10.6057,2.2040603454905982e-5
100660,340,106,8.5437,2.2698,0.615105,0.966679,3.00343,1.97905,1.18165,FALSE,21.2772,8.589818804863508e-6
45321,263,262,-10.4882,3.91087,2.75451,3.08878,4.24827,7.18264,7.46226,FALSE,2.0347,8.569569086098581e-5
19625,364,137,-2.06203,15.7587,0.308877,1.88054,19.0486,0.0189178,2.21907,TRUE,44.1215,7.923955779858034e-7
92243,350,380,-105.406,9.59623,0.856806,0.897464,9.69458,1.152,1.3045,TRUE,0,2.5415507248845878e-6
77192,221,116,-60.1309,16.5035,1.19522,1.89197,23.3769,1.30436,2.26769,TRUE,0,1.9341376136146327e-6
96725,351,10,-113.162,14.8239,1.02098,2.22261,16.6133,0.0276385,2.19968,TRUE,11.4911,4.232470816222344e-6
83796,150,149,171.041,3.33719,1.81516,2.86329,3.71131,4.29109,3.907,FALSE,9.86259,6.194515472297261e-5
141315,66,60,-79.9995,2.25273,2.37246,1.63564,3.01876,4.97651,3.60483,FALSE,27.6105,5.5875047000885256e-5
81719,356,357,-108.818,1.60168,1.09758,0.463599,1.68569,0.0349412,0.013531,TRUE,19.7289,8.614971589839174e-6
31756,152,324,-103.837,3.92929,2.02065,1.60028,4.07641,1.64803,1.23541,TRUE,15.748,3.4323600230294466e-5
523,401,346,-47.455,1.84593,0.703904,1.10322,2.54205,0.0151891,1.57285,TRUE,14.1508,1.2137719158914415e-5
185395,372,324,60.9181,6.5292,1.09844,1.60028,7.85381,4.44799,1.23541,TRUE,12.1426,8.48185880052164e-6
186559,161,189,127.715,3.28496,2.81618,2.34756,4.59939,5.33414,3.25767,FALSE,20.1828,6.0455454270432465e-5
76979,95,81,-150.5,1.91519,2.22673,1.81544,2.70794,1.62976,2.87148,FALSE,7.58219,6.16777623676637e-5
89829,191,362,-117.859,11.2956,2.08683,0.616388,13.4247,2.13796,0.0263124,TRUE,13.4795,3.161056224604817e-6
204630,327,280,-120.914,6.52403,2.56219,1.20217,8.01337,6.84414,5.45233,FALSE,0,1.4512738679514277e-5
55472,24,423,76.9783,3.37813,1.31149,1.12442,3.55789,2.67476,0.686013,FALSE,51.5869,1.8429996821370028e-5
185797,85,272,-109.284,11.0749,3.06446,1.78619,11.7266,3.97504,10.9957,FALSE,6.34415,1.4736330405996773e-5
98234,300,141,-100.443,5.38839,1.24199,0.499072,5.88668,2.11144,1.4216,TRUE,33.2359,4.246828775443557e-6
22895,203,436,160.798,3.31755,1.07847,1.14058,3.506,4.96176,1.65218,FALSE,6.73322,1.56132076481709e-5
