uid,lon,lat,nomen
0,-79.4205101378467,43.6492230894765,
1,-79.450554838959,43.6525270451463,
2,-79.600952322744,43.7346912349417,
3,-79.5898355602835,43.759553767697,
4,-79.5893894622714,43.7321552414615,
5,-79.5868913134039,43.6880427202197,
6,-79.2747966831878,43.7494457249859,
7,-79.5747752913964,43.7644163976522,
8,-79.582198362317,43.74330762922,
9,-79.4213064227983,43.7401898289116,
10,-79.5624696777341,43.6354222372801,
11,-79.5756139556591,43.701973796803,
12,-79.4369042397899,43.64461668112,home
13,-79.5726429428985,43.6530129055426,
14,-79.574686071794,43.7281698903557,
15,-79.5712421951412,43.6718320902929,
16,-79.5490265141402,43.6105856235345,
17,-79.541103813446,43.5927943927574,
18,-79.5692398075,43.6876836537,
19,-79.5685656070685,43.7462570989167,
20,-79.5423707318005,43.7520521218697,
21,-79.566620619736,43.711708079088,
22,-79.5641849245899,43.6549174401252,
23,-79.5632525797452,43.6745422629559,
24,-79.5672362349924,43.6445389327786,
25,-79.5631118979,43.7580434011,
26,-79.5589834217695,43.7230972390866,
27,-79.5551469788658,43.7685027682202,
28,-79.5547008808538,43.6857119245234,
29,-79.5448041964566,43.6595619173699,
30,-79.5377446954157,43.7337079033677,
31,-79.5508867428509,43.6771794631891,
32,-79.5393997190399,43.6509917002766,
33,-79.5389826173991,43.6798748234785,
34,-79.5378562199184,43.7174029315814,
35,-79.5246874066023,43.6158234309967,
36,-79.5493120168679,43.6204385439299,
37,-79.5386489101,43.6371636947,
38,-79.545172227316,43.6016647356808,
39,-79.5427811419716,43.6885606624332,
40,-79.5464391456704,43.770209649902,
41,-79.4955482844552,43.7516867157962,
42,-79.5311022960156,43.6623406575495,
43,-79.5296123286554,43.5953363215349,
44,-79.533288176275,43.7069446930359,
45,-79.5268643649012,43.6831997425977,
46,-79.53254697,43.6961766133,
47,-79.5343766554244,43.7727440200899,
48,-79.5210427858442,43.7181794601507,
49,-79.5309082948,43.7461629468,
50,-79.5232955808048,43.6981935666326,
51,-79.5022464461062,43.697559189422,
52,-79.5131200851501,43.7391419008101,
53,-79.5177461215349,43.7573292404707,
54,-79.521600408359,43.7755368742161,
55,-79.4944598053054,43.7817944593451,
56,-79.5200256823767,43.767332491451,
57,-79.5155735834,43.6587322667,
58,-79.5234650980498,43.6446798515727,
59,-79.5146948111322,43.6236533556127,
60,-79.5206903684142,43.6071626496795,
61,-79.5111974027176,43.6184680899121,
62,-79.506950549643,43.7089640010633,
63,-79.5058617347,43.7758795209,
64,-79.4999022010525,43.761105714115,
65,-79.5089488849,43.647420742,
66,-79.4931393551895,43.6036357441666,
67,-79.5170502086358,43.5982412505953,
68,-79.5084137511224,43.6136972477168,
69,-79.5037386439562,43.7029576529623,
70,-79.5025609452042,43.6264013638379,
71,-79.4950685703,43.6495891316,
72,-79.4965653879221,43.6122451766073,
73,-79.5088375442343,43.7214407694775,
74,-79.4865549485317,43.7448082548965,
75,-79.4909802408114,43.7635370153321,
76,-79.4934248579172,43.6361998349453,
77,-79.487750491204,43.7063751322319,
78,-79.4998432967,43.6198227719,
79,-79.4893564440473,43.6870845152514,skullstore
80,-79.4833564257855,43.7337079033677,
81,-79.4812196163073,43.6229792965391,
82,-79.4880359939316,43.658279378221,
83,-79.4902843279123,43.6290973999041,
84,-79.2056336473982,43.7640736987372,
85,-79.468887431,43.7854066891,
86,-79.4846813368809,43.6498320676136,
87,-79.4851369226,43.7539597386,
88,-79.4803631081242,43.6834069368681,
89,-79.4835036381291,43.6690570307227,
90,-79.4629117538927,43.7315082870365,
91,-79.4799705418736,43.6600930618681,
92,-79.4820716635108,43.7267206055616,
93,-79.4750813076615,43.6903993209166,
94,-79.4761162550496,43.7580535142926,
95,-79.4695345489,43.6379834019,
96,-79.4632686323023,43.7501377571398,
97,-79.4539897936513,43.6397248172686,
98,-79.4665876015119,43.7114492092075,
99,-79.476473133459,43.6517496602788,
100,-79.4675868610589,43.6725282634932,
101,-79.4655526541239,43.6542631680967,
102,-79.4580225196803,43.6830961451923,
103,-79.4669087920807,43.7689165622231,
104,-79.4575942655888,43.7269276484084,
105,-79.4546678626297,43.7140896291571,
106,-79.45024257035,43.6956819111452,
107,-79.4483154269379,43.6715439045881,
108,-79.4500641311454,43.7339407991573,
109,-79.4531689733092,43.7069964710205,
110,-79.4461027807981,43.6855824331995,
111,-79.4459099666,43.7813811384,
112,-79.4443183887499,43.7160051546187,ivans
113,-79.2336575245158,43.7902359826176,
114,-79.3344310654399,43.7100448204817,
115,-79.4143941341015,43.7991642047103,
116,-79.4429265629525,43.7738818654039,
117,-79.440107223516,43.6505058234136,
118,-79.4294900908295,43.7961398108646,
119,-79.4426767480655,43.6973908841296,
120,-79.4433528693,43.7918175357,
121,-79.4188729581423,43.6442862499694,
122,-79.4184223991502,43.6831090948779,
123,-79.4326484647546,43.6525788704439,
124,-79.4227272449665,43.6543927274842,
125,-79.4156967402963,43.7222690100472,
126,-79.4230484355349,43.6755848533026,
127,-79.4243688856509,43.6586421193641,
128,-79.4213354191687,43.6715957133569,
129,-79.4096654951734,43.6615439690628,
