Itineraries:
a: {w134,s3177,r47,s3180,w54,s9600,r506,s9614,w583}
b: {w134,s3177,r47,s3184,w57,s14477,r2,s14482,w828}
c: {w838,s9600,r506,s9614,w583}

depart,a,a_pre_board,b,b_pre_board,c,c_pre_board
1509972300,47.986,9.431,36.907,9.431,47.986,22.616
1509972360,46.986,8.431,35.907,8.431,46.986,21.616
1509972420,45.986,7.431,34.907,7.431,45.986,20.616
1509972480,44.986,6.431,33.907,6.431,44.986,19.616
1509972540,43.986,5.431,32.907,5.431,43.986,18.616
1509972600,42.986,4.431,31.907,4.431,42.986,17.616
1509972660,41.986,3.431,30.907,3.431,41.986,16.616
1509972720,40.986,2.431,29.907,2.431,40.986,15.616
1509972780,39.986,4.826,33.607,4.826,39.986,14.616
1509972840,38.986,3.826,32.607,3.826,38.986,13.616
1509972900,37.986,2.826,31.607,2.826,37.986,12.616
1509972960,36.986,1.826,30.607,1.826,36.986,11.616
1509973020,35.986,5.138,34.307,5.138,35.986,10.616
1509973080,34.986,4.138,33.307,4.138,38.872,12.643
1509973140,33.986,3.138,32.307,3.138,37.872,11.643
1509973200,32.986,2.138,31.307,2.138,36.872,10.643
1509973260,35.872,3.496,32.657,3.496,43.977,15.561
1509973320,34.872,2.496,31.657,2.496,42.977,14.561
1509973380,49.064,11.182,40.057,11.182,41.977,13.561
1509973440,48.064,10.182,39.057,10.182,40.977,12.561
1509973500,47.064,9.182,38.057,9.182,39.977,11.561
1509973560,46.064,8.182,37.057,8.182,38.977,10.561
1509973620,45.064,7.182,36.057,7.182,39.576,10.542
1509973680,44.064,6.182,35.057,6.182,44.064,13.101
1509973740,43.064,5.182,34.057,5.182,43.064,12.101
1509973800,42.064,4.182,33.057,4.182,42.064,11.101
1509973860,41.064,3.182,32.057,3.182,49.612,21.987
1509973920,40.064,2.182,31.057,2.182,48.612,20.987
1509973980,47.612,4.965,32.407,4.965,47.612,19.987
1509974040,46.612,3.965,31.407,3.965,46.612,18.987
1509974100,45.612,2.965,30.407,2.965,45.612,17.987
1509974160,44.612,1.965,29.407,1.965,44.612,16.987
1509974220,43.612,7.966,33.107,7.966,43.612,15.987
1509974280,42.612,6.966,32.107,6.966,42.612,14.987
1509974340,41.612,5.966,31.107,5.966,41.612,13.987
1509974400,40.612,4.966,30.107,4.966,40.612,12.987
1509974460,39.612,3.966,29.107,3.966,39.612,11.987
1509974520,38.612,2.966,28.107,2.966,38.612,10.987
1509974580,37.612,1.966,27.107,1.966,50.003,23.672
1509974640,36.612,3.354,30.807,3.354,49.003,22.672
1509974700,35.612,2.354,29.807,2.354,48.003,21.672
1509974760,47.003,5.184,33.507,5.184,47.003,20.672
1509974820,46.003,4.184,32.507,4.184,46.003,19.672
1509974880,45.003,3.184,31.507,3.184,45.003,18.672
1509974940,44.003,2.184,30.507,2.184,44.003,17.672
1509975000,43.003,2.538,29.507,2.538,43.003,16.672
1509975060,43.387,12.697,40.257,12.697,42.003,15.672
1509975120,42.387,11.697,39.257,11.697,41.003,14.672
