Itineraries:
a: {w134,s3177,r47,s3180,w54,s9600,r506,s9614,w583}
b: {w134,s3177,r47,s3184,w57,s14477,r2,s14482,w828}
c: {w838,s9600,r506,s9614,w583}

depart,a,a_pre_board,b,b_pre_board,c,c_pre_board
1510144260,27.396,2.577,27.407,2.577,33.949,10.747
1510144320,32.949,5.711,31.107,5.711,40.616,15.787
1510144380,31.949,4.711,30.107,4.711,39.616,14.787
1510144440,30.949,3.711,29.107,3.711,38.616,13.787
1510144500,29.949,2.711,28.107,2.711,37.616,12.787
1510144560,28.949,1.711,27.107,1.711,36.616,11.787
1510144620,43.596,11.546,37.857,11.546,35.616,10.787
1510144680,42.596,10.546,36.857,10.546,42.596,17.482
1510144740,41.596,9.546,35.857,9.546,41.596,16.482
1510144800,40.596,8.546,34.857,8.546,40.596,15.482
1510144860,39.596,7.546,33.857,7.546,39.596,14.482
1510144920,38.596,6.546,32.857,6.546,38.596,13.482
1510144980,37.596,5.546,31.857,5.546,37.596,12.482
1510145040,36.596,4.546,30.857,4.546,36.596,11.482
1510145100,35.596,3.546,29.857,3.546,35.596,10.482
1510145160,34.596,2.546,28.857,2.546,40.283,13.813
1510145220,33.596,4.287,30.207,4.287,39.283,12.813
1510145280,32.596,3.287,29.207,3.287,38.283,11.813
1510145340,31.596,2.287,28.207,2.287,37.283,10.813
1510145400,36.283,3.987,29.557,3.987,41.457,15.983
1510145460,35.283,2.987,28.557,2.987,40.457,14.983
1510145520,34.283,1.987,27.557,1.987,39.457,13.983
1510145580,38.457,4.647,31.257,4.647,38.457,12.983
1510145640,37.457,3.647,30.257,3.647,37.457,11.983
1510145700,36.457,2.647,29.257,2.647,36.457,10.983
1510145760,42.613,8.435,37.657,8.435,42.613,13.946
1510145820,41.613,7.435,36.657,7.435,41.613,12.946
1510145880,40.613,6.435,35.657,6.435,40.613,11.946
1510145940,39.613,5.435,34.657,5.435,39.613,10.946
1510146000,38.613,4.435,33.657,4.435,41.687,12.863
1510146060,37.613,3.435,32.657,3.435,40.687,11.863
1510146120,36.613,2.435,31.657,2.435,39.687,10.863
1510146180,38.687,2.647,30.657,2.647,41.061,12.223
1510146240,37.687,5.856,34.357,5.856,40.061,11.223
1510146300,36.687,4.856,33.357,4.856,45.531,16.778
1510146360,35.687,3.856,32.357,3.856,44.531,15.778
1510146420,34.687,2.856,31.357,2.856,43.531,14.778
1510146480,33.687,1.856,30.357,1.856,42.531,13.778
1510146540,41.531,6.663,34.057,6.663,41.531,12.778
1510146600,40.531,5.663,33.057,5.663,40.531,11.778
1510146660,39.531,4.663,32.057,4.663,39.531,10.778
1510146720,38.531,3.663,31.057,3.663,50.847,18.214
1510146780,37.531,2.663,30.057,2.663,49.847,17.214
1510146840,48.847,9.557,38.457,9.557,48.847,16.214
1510146900,47.847,8.557,37.457,8.557,47.847,15.214
1510146960,46.847,7.557,36.457,7.557,46.847,14.214
1510147020,45.847,6.557,35.457,6.557,45.847,13.214
1510147080,44.847,5.557,34.457,5.557,44.847,12.214
1510147140,43.847,4.557,33.457,4.557,43.847,11.214
1510147200,42.847,3.557,32.457,3.557,53.076,24.44
1510147260,41.847,2.557,31.457,2.557,52.076,23.44
1510147320,51.076,7.66,35.157,7.66,51.076,22.44
1510147380,50.076,6.66,34.157,6.66,50.076,21.44
1510147440,49.076,5.66,33.157,5.66,49.076,20.44
1510147500,48.076,4.66,32.157,4.66,48.076,19.44
1510147560,47.076,3.66,31.157,3.66,47.076,18.44
1510147620,46.076,2.66,30.157,2.66,46.076,17.44
1510147680,45.076,1.99,29.157,1.99,45.076,16.44
1510147740,44.076,2.247,30.507,2.247,44.076,15.44
1510147800,43.076,9.711,36.557,9.711,43.076,14.44
1510147860,42.076,8.711,35.557,8.711,42.076,13.44
1510147920,41.076,7.711,34.557,7.711,41.076,12.44
1510147980,40.076,6.711,33.557,6.711,40.076,11.44
1510148040,39.076,5.711,32.557,5.711,39.076,10.44
1510148100,38.076,4.711,31.557,4.711,40.161,12.361
1510148160,37.076,3.711,30.557,3.711,39.161,11.361
1510148220,36.076,2.711,29.557,2.711,39.205,13.324
1510148280,35.076,1.711,28.557,1.711,38.205,12.324
1510148340,36.161,3.04,34.607,6.775,37.205,11.324
1510148400,35.161,2.04,33.607,5.775,44.771,19.929
1510148460,35.205,4.775,32.607,4.775,43.771,18.929
1510148520,34.205,3.775,31.607,3.775,42.771,17.929
1510148580,33.205,2.775,30.607,2.775,41.771,16.929
1510148640,32.205,1.775,29.607,1.775,40.771,15.929
1510148700,53.354,11.716,38.007,11.716,39.771,14.929
1510148760,52.354,10.716,37.007,10.716,38.771,13.929
1510148820,51.354,9.716,36.007,9.716,37.771,12.929
1510148880,50.354,8.716,35.007,8.716,36.771,11.929
1510148940,49.354,7.716,34.007,7.716,35.771,10.929
1510149000,48.354,6.716,33.007,6.716,48.354,24.158
1510149060,47.354,5.716,32.007,5.716,47.354,23.158
1510149120,46.354,4.716,31.007,4.716,46.354,22.158
1510149180,45.354,3.716,30.007,3.716,45.354,21.158
1510149240,44.354,2.716,29.007,2.716,44.354,20.158
1510149300,43.354,1.716,28.007,1.716,43.354,19.158
1510149360,42.354,2.829,29.357,2.829,42.354,18.158
1510149420,41.354,1.829,28.357,1.829,41.354,17.158
1510149480,40.354,6.555,34.407,6.555,40.354,16.158
1510149540,39.354,5.555,33.407,5.555,39.354,15.158
1510225200,31.306,3.559,32.273,6.382,31.306,10.756
1510225260,30.306,2.559,31.273,5.382,40.168,18.02
1510225320,29.306,4.52,30.273,4.382,39.168,17.02
1510225380,28.306,3.52,29.273,3.382,38.168,16.02
1510225440,27.306,2.52,28.273,2.382,37.168,15.02
1510225500,36.168,9.982,35.857,9.982,36.168,14.02
1510225560,35.168,8.982,34.857,8.982,35.168,13.02
1510225620,34.168,7.982,33.857,7.982,34.168,12.02
1510225680,33.168,6.982,32.857,6.982,33.168,11.02
1510225740,32.168,5.982,31.857,5.982,43.427,21.333
1510225800,31.168,4.982,30.857,4.982,42.427,20.333
1510225860,30.168,3.982,29.857,3.982,41.427,19.333
1510225920,29.168,2.982,28.857,2.982,40.427,18.333
1510225980,28.168,1.982,27.857,1.982,39.427,17.333
1510226040,38.427,3.034,31.557,3.034,38.427,16.333
1510226100,37.427,2.034,30.557,2.034,37.427,15.333
1510226160,36.427,5.642,29.557,5.642,36.427,14.333
1510226220,35.427,4.642,28.557,4.642,35.427,13.333
1510226280,34.427,3.642,27.557,3.642,34.427,12.333
1510226340,33.427,2.642,26.557,2.642,33.427,11.333
1510226400,32.427,6.887,30.257,6.887,42.058,18.741
1510226460,31.427,5.887,29.257,5.887,41.058,17.741
1510226520,30.427,4.887,28.257,4.887,40.058,16.741
1510226580,29.427,3.887,27.257,3.887,39.058,15.741
1510226640,28.427,2.887,26.257,2.887,38.058,14.741
1510226700,27.427,1.887,25.257,1.887,37.058,13.741
1510226760,36.058,6.286,33.657,6.286,36.058,12.741
1510226820,35.058,5.286,32.657,5.286,35.058,11.741
1510226880,34.058,4.286,31.657,4.286,34.058,10.741
1510226940,33.058,3.286,30.657,3.286,42.207,17.71
1510227000,32.058,2.286,29.657,2.286,41.207,16.71
1510227060,31.058,5.011,28.657,5.011,40.207,15.71
1510227120,30.058,4.011,27.657,4.011,39.207,14.71
1510227180,29.058,3.011,26.657,3.011,38.207,13.71
1510227240,28.058,2.011,25.657,2.011,37.207,12.71
1510227300,36.207,5.777,34.057,5.777,36.207,11.71
1510227360,35.207,4.777,33.057,4.777,35.207,10.71
1510227420,34.207,3.777,32.057,3.777,37.225,14.815
1510227480,33.207,2.777,31.057,2.777,36.225,13.815
1510227540,32.207,1.777,30.057,1.777,35.225,12.815
1510227600,34.225,6.332,33.757,6.332,34.225,11.815
1510227660,33.225,5.332,32.757,5.332,33.225,10.815
1510227720,32.225,4.332,31.757,4.332,39.064,16.45
1510227780,31.225,3.332,30.757,3.332,38.064,15.45
1510227840,30.225,2.332,29.757,2.332,37.064,14.45
1510227900,36.064,4.851,28.757,4.851,36.064,13.45
1510227960,35.064,3.851,27.757,3.851,35.064,12.45
1510228020,34.064,2.851,26.757,2.851,34.064,11.45
1510228080,33.064,1.851,25.757,1.851,33.064,10.45
1510228140,32.064,3.043,29.457,3.043,36.955,13.69
1510228200,31.064,2.043,28.457,2.043,35.955,12.69
1510228260,34.955,6.956,32.157,6.956,34.955,11.69
1510228320,33.955,5.956,31.157,5.956,33.955,10.69
1510228380,32.955,4.956,30.157,4.956,42.301,17.233
1510228440,31.955,3.956,29.157,3.956,41.301,16.233
1510228500,30.955,2.956,28.157,2.956,40.301,15.233
1510228560,29.955,1.956,27.157,1.956,39.301,14.233
1510228620,38.301,6.007,30.857,6.007,38.301,13.233
1510228680,37.301,5.007,29.857,5.007,37.301,12.233
1510228740,36.301,4.007,28.857,4.007,36.301,11.233
1510228800,35.301,3.007,27.857,3.007,35.558,11.6
1510228860,34.301,2.007,26.857,2.007,34.558,10.6
1510228920,33.558,6.273,30.557,6.273,40.083,17.399
1510228980,32.558,5.273,29.557,5.273,39.083,16.399
1510229040,31.558,4.273,28.557,4.273,38.083,15.399
1510229100,30.558,3.273,27.557,3.273,37.083,14.399
1510229160,29.558,2.273,26.557,2.273,36.083,13.399
1510229220,35.083,3.875,27.907,3.875,35.083,12.399
1510229280,34.083,2.875,26.907,2.875,34.083,11.399
1510229340,33.083,1.875,25.907,1.875,39.049,15.09
1510229400,38.049,7.606,34.307,7.606,38.049,14.09
1510229460,37.049,6.606,33.307,6.606,37.049,13.09
1510229520,36.049,5.606,32.307,5.606,36.049,12.09
1510229580,35.049,4.606,31.307,4.606,35.049,11.09
1510229640,34.049,3.606,30.307,3.606,36.163,13.383
1510229700,33.049,2.606,29.307,2.606,35.163,12.383
1510229760,34.163,5.629,30.657,5.629,34.163,11.383
1510229820,33.163,4.629,29.657,4.629,35.621,13.102
1510229880,32.163,3.629,28.657,3.629,34.621,12.102
1510229940,31.163,2.629,27.657,2.629,33.621,11.102
1510230000,32.621,4.555,31.357,4.555,40.82,17.364
1510230060,31.621,3.555,30.357,3.555,39.82,16.364
1510230120,30.621,2.555,29.357,2.555,38.82,15.364
1510230180,37.82,9.606,37.757,9.606,37.82,14.364
1510230240,36.82,8.606,36.757,8.606,36.82,13.364
1510230300,35.82,7.606,35.757,7.606,35.82,12.364
1510230360,34.82,6.606,34.757,6.606,34.82,11.364
1510230420,33.82,5.606,33.757,5.606,35.434,11.005
1510230480,32.82,4.606,32.757,4.606,38.712,14.119
1510230540,31.82,3.606,31.757,3.606,37.712,13.119
1510230600,30.82,2.606,30.757,2.606,36.712,12.119
1510230660,29.82,2.55,27.407,2.55,35.712,11.119
1510230720,34.712,5.896,33.457,5.896,40.98,17.609
1510230780,33.712,4.896,32.457,4.896,39.98,16.609
1510230840,32.712,3.896,31.457,3.896,38.98,15.609
1510230900,31.712,2.896,30.457,2.896,37.98,14.609
1510230960,30.712,1.896,29.457,1.896,36.98,13.609
1510231020,39.215,9.064,35.507,9.064,35.98,12.609
1510231080,38.215,8.064,34.507,8.064,34.98,11.609
1510231140,37.215,7.064,33.507,7.064,33.98,10.609
1510231200,36.215,6.064,32.507,6.064,36.215,12.895
1510231260,35.215,5.064,31.507,5.064,35.215,11.895
1510231320,34.215,4.064,30.507,4.064,34.215,10.895
1510231380,33.215,3.064,29.507,3.064,42.28,17.673
1510231440,32.215,2.064,28.507,2.064,41.28,16.673
1510231500,31.215,3.304,27.507,3.304,40.28,15.673
1510231560,30.215,2.304,26.507,2.304,39.28,14.673
1510231620,38.28,7.124,32.557,7.124,38.28,13.673
1510231680,37.28,6.124,31.557,6.124,37.28,12.673
1510231740,36.28,5.124,30.557,5.124,36.28,11.673
1510231800,35.28,4.124,29.557,4.124,35.28,10.673
1510231860,34.28,3.124,28.557,3.124,38.148,14.899
1510231920,33.28,2.124,27.557,2.124,37.148,13.899
1510231980,36.148,7.634,35.957,7.634,36.148,12.899
1510232040,35.148,6.634,34.957,6.634,35.148,11.899
1510232100,34.148,5.634,33.957,5.634,34.148,10.899
1510232160,33.148,4.634,32.957,4.634,35.882,13.83
1510232220,32.148,3.634,31.957,3.634,34.882,12.83
1510232280,31.148,2.634,30.957,2.634,33.882,11.83
1510232340,32.882,2.796,32.307,2.796,32.882,10.83
1510232400,31.882,1.796,31.307,1.796,38.564,13.466
1510232460,30.882,4.793,32.657,4.793,37.564,12.466
1510232520,29.882,3.793,31.657,3.793,36.564,11.466
1510232580,28.882,2.793,30.657,2.793,35.564,10.466
1510232640,27.882,1.793,29.657,1.793,41.613,13.288
1510232700,33.564,4.644,31.007,4.644,40.613,12.288
1510232760,32.564,3.644,30.007,3.644,39.613,11.288
1510232820,31.564,2.644,29.007,2.644,42.328,15.093
1510232880,49.278,10.595,39.757,10.595,41.328,14.093
1510232940,48.278,9.595,38.757,9.595,40.328,13.093
1510233000,47.278,8.595,37.757,8.595,39.328,12.093
1510233060,46.278,7.595,36.757,7.595,38.328,11.093
1510233120,45.278,6.595,35.757,6.595,45.278,20.066
1510233180,44.278,5.595,34.757,5.595,44.278,19.066
1510233240,43.278,4.595,33.757,4.595,43.278,18.066
1510233300,42.278,3.595,32.757,3.595,42.278,17.066
1510233360,41.278,2.595,31.757,2.595,41.278,16.066
1510233420,40.278,6.23,33.107,6.23,40.278,15.066
1510233480,39.278,5.23,32.107,5.23,39.278,14.066
1510233540,38.278,4.23,31.107,4.23,38.278,13.066
1510233600,37.278,3.23,30.107,3.23,37.278,12.066
1510233660,36.278,2.23,29.107,2.23,36.278,11.066
1510233720,35.278,5.571,32.807,5.571,43.597,20.488
1510233780,34.278,4.571,31.807,4.571,42.597,19.488
1510233840,33.278,3.571,30.807,3.571,41.597,18.488
1510233900,32.278,2.571,29.807,2.571,40.597,17.488
1510233960,39.597,6.56,33.507,6.56,39.597,16.488
1510234020,38.597,5.56,32.507,5.56,38.597,15.488
1510234080,37.597,4.56,31.507,4.56,37.597,14.488
1510234140,36.597,3.56,30.507,3.56,36.597,13.488
1510234200,35.597,2.56,29.507,2.56,35.597,12.488
1510234260,34.597,1.994,28.507,1.994,34.597,11.488
1510234320,36.93,8.855,34.557,8.855,33.597,10.488
1510234380,35.93,7.855,33.557,7.855,35.93,12.262
1510234440,34.93,6.855,32.557,6.855,34.93,11.262
1510234500,33.93,5.855,31.557,5.855,53.178,24.917
1510234560,32.93,4.855,30.557,4.855,52.178,23.917
1510234620,31.93,3.855,29.557,3.855,51.178,22.917
1510234680,30.93,2.855,28.557,2.855,50.178,21.917
1510234740,29.93,1.855,27.557,1.855,49.178,20.917
1510234800,48.178,6.022,31.257,6.022,48.178,19.917
1510234860,47.178,5.022,30.257,5.022,47.178,18.917
1510234920,46.178,4.022,29.257,4.022,46.178,17.917
1510234980,45.178,3.022,28.257,3.022,45.178,16.917
1510235040,44.178,2.022,27.257,2.022,44.178,15.917
1510235100,43.178,2.097,28.607,2.097,43.178,14.917
1510235160,50.94,14.96,41.707,14.96,42.178,13.917
1510235220,49.94,13.96,40.707,13.96,41.178,12.917
1510235280,48.94,12.96,39.707,12.96,40.178,11.917
1510235340,47.94,11.96,38.707,11.96,39.178,10.917
1510235400,46.94,10.96,37.707,10.96,46.94,22.277
1510235460,45.94,9.96,36.707,9.96,45.94,21.277
1510235520,44.94,8.96,35.707,8.96,44.94,20.277
1510235580,43.94,7.96,34.707,7.96,43.94,19.277
1510235640,42.94,6.96,33.707,6.96,42.94,18.277
1510235700,41.94,5.96,32.707,5.96,41.94,17.277
1510235760,40.94,4.96,31.707,4.96,40.94,16.277
1510235820,39.94,3.96,30.707,3.96,39.94,15.277
1510235880,38.94,2.96,29.707,2.96,38.94,14.277
1510235940,37.94,1.96,28.707,1.96,37.94,13.277
1510311600,29.775,2.423,32.273,2.423,29.775,10.534
1510311660,42.651,7.935,35.157,7.935,42.651,20.333
1510311720,41.651,6.935,34.157,6.935,41.651,19.333
1510311780,40.651,5.935,33.157,5.935,40.651,18.333
1510311840,39.651,4.935,32.157,4.935,39.651,17.333
1510311900,38.651,3.935,31.157,3.935,38.651,16.333
1510311960,37.651,2.935,30.157,2.935,37.651,15.333
1510312020,36.651,1.935,29.157,1.935,36.651,14.333
1510312080,35.651,10.238,37.557,10.238,35.651,13.333
1510312140,34.651,9.238,36.557,9.238,34.651,12.333
1510312200,33.651,8.238,35.557,8.238,33.651,11.333
1510312260,32.651,7.238,34.557,7.238,40.724,18.621
1510312320,31.651,6.238,33.557,6.238,39.724,17.621
1510312380,30.651,5.238,32.557,5.238,38.724,16.621
1510312440,29.651,4.238,31.557,4.238,37.724,15.621
1510312500,28.651,3.238,30.557,3.238,36.724,14.621
1510312560,27.651,2.238,29.557,2.238,35.724,13.621
1510312620,34.724,5.165,33.257,5.165,34.724,12.621
1510312680,33.724,4.165,32.257,4.165,33.724,11.621
1510312740,32.724,3.165,31.257,3.165,32.724,10.621
1510312800,31.724,2.165,30.257,2.165,41.061,17.675
1510312860,30.724,4.197,29.257,4.197,40.061,16.675
1510312920,29.724,3.197,28.257,3.197,39.061,15.675
1510312980,28.724,2.197,27.257,2.197,38.061,14.675
1510313040,37.061,8.397,35.657,8.397,37.061,13.675
1510313100,36.061,7.397,34.657,7.397,36.061,12.675
1510313160,35.061,6.397,33.657,6.397,35.061,11.675
1510313220,34.061,5.397,32.657,5.397,34.061,10.675
1510313280,33.061,4.397,31.657,4.397,43.017,18.818
1510313340,32.061,3.397,30.657,3.397,42.017,17.818
1510313400,31.061,2.397,29.657,2.397,41.017,16.818
1510313460,40.017,5.946,28.657,5.946,40.017,15.818
1510313520,39.017,4.946,27.657,4.946,39.017,14.818
1510313580,38.017,3.946,26.657,3.946,38.017,13.818
1510313640,37.017,2.946,25.657,2.946,37.017,12.818
1510313700,36.017,1.946,24.657,1.946,36.017,11.818
1510313760,35.017,5.615,33.057,5.615,35.017,10.818
1510313820,34.017,4.615,32.057,4.615,43.455,19.431
1510313880,33.017,3.615,31.057,3.615,42.455,18.431
1510313940,32.017,2.615,30.057,2.615,41.455,17.431
1510314000,40.455,4.95,33.757,4.95,40.455,16.431
1510314060,39.455,3.95,32.757,3.95,39.455,15.431
1510314120,38.455,2.95,31.757,2.95,38.455,14.431
1510314180,37.455,1.95,30.757,1.95,37.455,13.431
1510314240,36.455,6.187,29.757,6.187,36.455,12.431
1510314300,35.455,5.187,28.757,5.187,35.455,11.431
1510314360,34.455,4.187,27.757,4.187,34.455,10.431
1510314420,33.455,3.187,26.757,3.187,36.414,16.038
1510314480,32.455,2.187,25.757,2.187,35.414,15.038
1510314540,34.414,6.374,34.157,6.374,34.414,14.038
1510314600,33.414,5.374,33.157,5.374,33.414,13.038
1510314660,32.414,4.374,32.157,4.374,32.414,12.038
1510314720,31.414,3.374,31.157,3.374,31.414,11.038
1510314780,30.414,2.374,30.157,2.374,31.874,10.995
1510314840,29.414,2.854,29.157,2.854,32.09,12.072
1510314900,28.414,1.854,28.157,1.854,31.09,11.072
1510314960,30.09,5.836,31.857,5.836,36.99,14.622
1510315020,29.09,4.836,30.857,4.836,35.99,13.622
1510315080,28.09,3.836,29.857,3.836,34.99,12.622
1510315140,27.09,2.836,28.857,2.836,33.99,11.622
1510315200,26.09,1.836,27.857,1.836,32.99,10.622
1510315260,33.364,7.288,33.907,7.288,33.364,11.761
1510315320,32.364,6.288,32.907,6.288,32.364,10.761
1510315380,31.364,5.288,31.907,5.288,37.391,15.501
1510315440,30.364,4.288,30.907,4.288,36.391,14.501
1510315500,29.364,3.288,29.907,3.288,35.391,13.501
1510315560,28.364,2.288,28.907,2.288,34.391,12.501
1510315620,40.164,10.097,37.307,10.097,33.391,11.501
1510315680,39.164,9.097,36.307,9.097,32.391,10.501
1510315740,38.164,8.097,35.307,8.097,38.164,14.822
1510315800,37.164,7.097,34.307,7.097,37.164,13.822
1510315860,36.164,6.097,33.307,6.097,36.164,12.822
1510315920,35.164,5.097,32.307,5.097,35.164,11.822
1510315980,34.164,4.097,31.307,4.097,34.164,10.822
1510316040,33.164,3.097,30.307,3.097,35.908,11.892
1510316100,32.164,2.097,29.307,2.097,34.908,10.892
1510316160,33.908,5.632,33.007,5.632,37.889,13.163
1510316220,32.908,4.632,32.007,4.632,36.889,12.163
1510316280,31.908,3.632,31.007,3.632,35.889,11.163
1510316340,30.908,2.632,30.007,2.632,39.654,15.462
1510316400,38.654,7.196,31.357,7.196,38.654,14.462
1510316460,37.654,6.196,30.357,6.196,37.654,13.462
1510316520,36.654,5.196,29.357,5.196,36.654,12.462
1510316580,35.654,4.196,28.357,4.196,35.654,11.462
1510316640,34.654,3.196,27.357,3.196,34.654,10.462
1510316700,33.654,2.196,26.357,2.196,36.102,13.384
1510316760,32.654,3.3,27.707,3.3,35.102,12.384
1510316820,31.654,2.3,26.707,2.3,34.102,11.384
1510316880,36.651,7.355,32.757,7.355,36.651,14.819
1510316940,35.651,6.355,31.757,6.355,35.651,13.819
1510317000,34.651,5.355,30.757,5.355,34.651,12.819
1510317060,33.651,4.355,29.757,4.355,33.651,11.819
1510317120,32.651,3.355,28.757,3.355,32.651,10.819
1510317180,31.651,2.355,27.757,2.355,42.38,17.888
1510317240,41.38,6.507,31.457,6.507,41.38,16.888
1510317300,40.38,5.507,30.457,5.507,40.38,15.888
1510317360,39.38,4.507,29.457,4.507,39.38,14.888
1510317420,38.38,3.507,28.457,3.507,38.38,13.888
1510317480,37.38,2.507,27.457,2.507,37.38,12.888
1510317540,36.38,5.09,28.807,5.09,36.38,11.888
1510317600,35.38,4.09,27.807,4.09,35.38,10.888
1510317660,34.38,3.09,26.807,3.09,40.905,17.187
1510317720,33.38,2.09,25.807,2.09,39.905,16.187
1510317780,32.38,4.414,29.507,4.414,38.905,15.187
1510317840,31.38,3.414,28.507,3.414,37.905,14.187
1510317900,30.38,2.414,27.507,2.414,36.905,13.187
1510317960,35.905,6.559,33.557,6.559,35.905,12.187
1510318020,34.905,5.559,32.557,5.559,34.905,11.187
1510318080,33.905,4.559,31.557,4.559,40.255,17.069
1510318140,32.905,3.559,30.557,3.559,39.255,16.069
1510318200,31.905,2.559,29.557,2.559,38.255,15.069
1510318260,30.905,3.99,30.907,3.99,37.255,14.069
1510318320,29.905,2.99,29.907,2.99,36.255,13.069
1510318380,28.905,1.99,28.907,1.99,35.255,12.069
1510318440,42.181,9.281,34.957,9.281,34.255,11.069
1510318500,41.181,8.281,33.957,8.281,41.181,15.097
1510318560,40.181,7.281,32.957,7.281,40.181,14.097
1510318620,39.181,6.281,31.957,6.281,39.181,13.097
1510318680,38.181,5.281,30.957,5.281,38.181,12.097
1510318740,37.181,4.281,29.957,4.281,37.181,11.097
1510318800,36.181,3.281,28.957,3.281,39.662,12.16
1510318860,35.181,2.281,27.957,2.281,38.662,11.16
1510318920,34.181,3.835,29.307,3.835,40.364,14.42
1510318980,33.181,2.835,28.307,2.835,39.364,13.42
1510319040,32.181,1.835,27.307,1.835,38.364,12.42
1510319100,41.656,9.288,35.707,9.288,37.364,11.42
1510319160,40.656,8.288,34.707,8.288,36.364,10.42
1510319220,39.656,7.288,33.707,7.288,39.656,13.611
1510319280,38.656,6.288,32.707,6.288,38.656,12.611
1510319340,37.656,5.288,31.707,5.288,37.656,11.611
1510319400,36.656,4.288,30.707,4.288,36.656,10.611
1510319460,35.656,3.288,29.707,3.288,45.989,19.147
1510319520,34.656,2.288,28.707,2.288,44.989,18.147
1510319580,43.989,6.447,34.757,6.447,43.989,17.147
1510319640,42.989,5.447,33.757,5.447,42.989,16.147
1510319700,41.989,4.447,32.757,4.447,41.989,15.147
1510319760,40.989,3.447,31.757,3.447,40.989,14.147
1510319820,39.989,2.447,30.757,2.447,39.989,13.147
1510319880,38.989,2.594,29.757,2.594,38.989,12.147
1510319940,37.989,5.791,33.457,5.791,37.989,11.147
1510320000,36.989,4.791,32.457,4.791,46.272,20.428
1510320060,35.989,3.791,31.457,3.791,45.272,19.428
1510320120,34.989,2.791,30.457,2.791,44.272,18.428
1510320180,33.989,1.791,29.457,1.791,43.272,17.428
1510320240,42.272,8.637,35.507,8.637,42.272,16.428
1510320300,41.272,7.637,34.507,7.637,41.272,15.428
1510320360,40.272,6.637,33.507,6.637,40.272,14.428
1510320420,39.272,5.637,32.507,5.637,39.272,13.428
1510320480,38.272,4.637,31.507,4.637,38.272,12.428
1510320540,37.272,3.637,30.507,3.637,37.272,11.428
1510320600,36.272,2.637,29.507,2.637,36.272,10.428
1510320660,35.272,1.704,28.507,1.704,38.507,14.144
1510320720,37.507,6.021,34.557,6.021,37.507,13.144
1510320780,36.507,5.021,33.557,5.021,36.507,12.144
1510320840,35.507,4.021,32.557,4.021,35.507,11.144
1510320900,34.507,3.021,31.557,3.021,47.6,23.302
1510320960,33.507,2.021,30.557,2.021,46.6,22.302
1510321020,45.6,5.133,31.907,5.133,45.6,21.302
1510321080,44.6,4.133,30.907,4.133,44.6,20.302
1510321140,43.6,3.133,29.907,3.133,43.6,19.302
1510321200,42.6,2.133,28.907,2.133,42.6,18.302
1510321260,53.306,13.809,42.007,13.809,41.6,17.302
1510321320,52.306,12.809,41.007,12.809,40.6,16.302
1510321380,51.306,11.809,40.007,11.809,39.6,15.302
1510321440,50.306,10.809,39.007,10.809,38.6,14.302
1510321500,49.306,9.809,38.007,9.809,37.6,13.302
1510321560,48.306,8.809,37.007,8.809,36.6,12.302
1510321620,47.306,7.809,36.007,7.809,35.6,11.302
1510321680,46.306,6.809,35.007,6.809,46.306,21.07
1510321740,45.306,5.809,34.007,5.809,45.306,20.07
1510321800,44.306,4.809,33.007,4.809,44.306,19.07
1510321860,43.306,3.809,32.007,3.809,43.306,18.07
1510321920,42.306,2.809,31.007,2.809,42.306,17.07
1510321980,41.306,1.809,30.007,1.809,41.306,16.07
1510322040,40.306,5.462,31.357,5.462,40.306,15.07
1510322100,39.306,4.462,30.357,4.462,39.306,14.07
1510322160,38.306,3.462,29.357,3.462,38.306,13.07
1510322220,37.306,2.462,28.357,2.462,37.306,12.07
1510322280,36.306,4.104,29.707,4.104,36.306,11.07
1510322340,35.306,3.104,28.707,3.104,36.985,12.896
